sl_no,model_type,model_name,reaction_type,reactions_text,reactions_composition_SMILES,invalid_SMILE,reactions_SMILES,invalid_reaction_SMILES,reactions_SMARTS,invalid_reaction_SMARTS,reactions_SMIRKS,invalid_reaction_SMIRKS
1,groq,groq/openai/gpt-oss-120b,Synthesis/Combination Reaction,8 Fe + S8 -> 8 FeS,"['[Fe]', 'S1SSSSSSS1', '[Fe]S']",0.0,['[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].S1SSSSSSS1>>[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S]'],0.0,['[Fe].[S]>>[Fe][S]'],0.0,['[Fe:1].[S:2]>>[Fe:1][S:2]'],0.0
2,groq,groq/openai/gpt-oss-120b,Decomposition Reaction,2H2O -> O2 + 2H2,"['O', 'O', 'O=O', '[H][H]', '[H][H]']",0.0,['O.O>>O=O.[H][H].[H][H]'],0.0,['O.O>>O=O.[H][H].[H][H]'],0.0,['[H:1][O:2][H:3].[H:4][O:5][H:6]>>[H:1][H:4].[H:3][H:6].[O:2]=[O:5]'],0.0
3,groq,groq/openai/gpt-oss-120b,Single Displacement/Substitution,Mg + 2 H2O -> Mg(OH)2 + H2,"['[Mg]', 'O', '[Mg](O)O', '[H][H]']",0.0,['[Mg].O.O>>[Mg](O)O.[H][H]'],0.0,['[Mg].[OH2].[OH2]>>[Mg]([OH])([OH]).[H][H]'],0.0,['[Mg:1].[O:2]([H:3])[H:4].[O:5]([H:6])[H:7]>>[Mg:1]([O:2][H:3])([O:5][H:6]).[H:4][H:7]'],0.0
4,groq,groq/openai/gpt-oss-120b,Double Displacement/Substitution,"[""error >>'Pb(NO'""]",['error'],,['error'],,['error'],,['error'],
5,groq,groq/openai/gpt-oss-120b,Combustion Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_response\\\\"":[\\\\""[Mg]\\\\"",\\\\""O=O\\\\"",\\\\""[Mg]O\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
8,groq,groq/openai/gpt-oss-120b,Redox/Oxidation-Reduction,"hazardous sodium metal reacts with chlorine gas to form sodium chloride. Sodium is oxidized, losing an electron and increasing its oxidation state from 0 to +1, while chlorine is reduced, gaining an electron and decreasing its oxidation state from 0 to -1. Here, sodium acts as the reducing agent and chlorine as the oxidizing agent.","['[Na]', 'ClCl', '[Na+].[Cl-]']",0.0,['[Na].ClCl>>[Na+].[Cl-]'],0.0,['[Na].[Cl]>>[Na+].[Cl-]'],0.0,['[Na:1].[Cl:2]>>[Na+:1].[Cl-:2]'],0.0
13,groq,groq/openai/gpt-oss-120b,Rearrangement Reaction,n-butane to isobutane,"['CCCC', 'CC(C)C']",0.0,['CCCC>>CC(C)C'],0.0,['[C:1][C:2][C:3][C:4]>>[C:1][C:2]([C:3])[C:4]'],0.0,['[C:1][C:2][C:3][C:4]>>[C:2]([C:1])([C:3])[C:4]'],0.0
14,groq,groq/openai/gpt-oss-120b,Photochemical Reaction,"A notable example is photosynthesis, where solar energy converts carbon dioxide and water into glucose, releasing oxygen.","['O=C=O', 'O', 'OC1C(O)C(O)C(O)C(O)C1O', 'O=O']",0.0,['O=C=O.O>>OC1C(O)C(O)C(O)C(O)C1O.O=O'],0.0,['O=C=O.O>>C(CO)O.O'],0.0,['[O:2]=[C:1]=[O:3].[O:4]>>[C:1]([O:4])=O.[O:2]=[O:3]'],0.0
26,groq,groq/openai/gpt-oss-120b,Gas-Forming Reaction,"[""error >>'CO'""]",['error'],,['error'],,['error'],,['error'],
27,groq,groq/openai/gpt-oss-120b,Metal Displacement,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMARTS_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\n  \\\\""SMARTS_reaction_response\\\\"": [\\\\n    \\\\""Fe.Fe.O.O.O.Al.Al>>Fe.Fe.Al.Al.O.O.O\\\\""\\\\n  ]\\\\n}""}\'}}']",['error'],,['error'],,['error'],,['error'],
